c_id,i_id,i_quantity
73,3,"20 ml"
74,11,"30 ml"
74,132,"15 ml"
74,54,"7.5 ml"
74,133,"7.5 ml"
74,18,"120 ml"
74,19,"15 ml"
74,96,"10 ml"
74,1,"A dash"
75,74,"60 ml"
75,3,"30 ml"
75,39,"15 ml"
75,106,5/6
75,53,"Few Drops (Optional)"
76,134,"50 ml"
76,135,"15 ml"
76,19,"15 ml"
76,136,"10 ml"
76,137,"2 thin Slices"
77,20,"90 ml"
77,104,"60 ml"
77,10,Splash
78,5,"50 ml"
78,138,"20 ml"
79,139,"30 ml"
79,11,"30 ml"
79,19,"15 ml"
79,1,"2 Dashes"
79,63,"Top up"
80,89,45ml
80,23,"90 ml"
80,96,"15 ml"
81,82,"50 ml"
81,9,"25 ml"
81,87,"15 ml"
81,1,"2 Dashes"
82,140,"60 ml"
82,141,"30 ml"
82,142,"30 ml"
83,47,"30 ml"
83,64,"30 ml"
83,14,"1/2 Bar Spoon"
83,56,"1/4 Bar Spoon"
83,48,"3 Dashes"
84,143,"45 ml"
84,3,"22.5 ml"
84,144,"15 ml"
84,145,"15 ml"
84,53,"10ml (Optional)"
85,11,"45 ml"
85,27,"15 ml"
85,55,"7.5 ml"
86,4,"30 ml"
86,5,"30 ml"
86,146,"30 ml"
86,147,"1 Bar Spoon"
86,130,"2 Dashes"
87,97,"45 ml"
87,3,"25 ml"
87,35,"20 ml"
87,148,"20 ml"
88,11,"40 ml"
88,26,"30 ml"
88,3,"20 ml"
89,25,"30 ml"
89,17,"15 ml"
89,26,"15 ml"
89,19,"15 ml"
90,149,"45 ml"
90,150,"45 ml"
90,151,"30 ml"
90,19,"20 ml"
90,81,"15 ml"
90,152,"15 ml"
90,96,"1 tsp"
90,1,"1 dash"
90,153,"6 drops"
